track_id,eventID,momentum,nSciFiHits,scifi_x,scifi_z,scifi_dxdy,scifi_slope_dxdz,scifi_slope_dydz,x_position,y_position,nUTHits,ut_x_max,ut_x_min,ut_y_begin,ut_y_end,ut_z_position,isDownstreamTrack
10,504471,22976.34031990585,0,"[-178.51499938964844, -229.29660034179688, -138.45590209960938, -190.11001586914062, -217.55999755859375, -273.0179443359375, -174.1667938232422, -229.9350128173828, -258.260009765625, -317.7331237792969, -210.75604248046875, -270.739990234375]","[7826.09912109375, 7895.89990234375, 7966.10009765625, 8035.90087890625, 8508.099609375, 8577.8994140625, 8648.1005859375, 8717.900390625, 9193.099609375, 9262.8994140625, 9333.1005859375, 9402.900390625]","[-0.0, 0.08748923242092133, -0.08748923242092133, -0.0, -0.0, 0.08748923242092133, -0.08748923242092133, -0.0, -0.0, 0.08748923242092133, -0.08748923242092133, -0.0]",-0.006142179481685162,0.0683244839310646,-10.549840927124023,162.05589294433594,4,"[-10.33946418762207, -8.0065336227417, -12.395724296569824, -4.682150840759277]","[-10.33946418762207, -16.495502471923828, -12.395724296569824, -13.171120643615723]","[94.69999694824219, 96.4892349243164, 94.69999694824219, 94.63642883300781]","[192.10000610351562, 193.5186004638672, 192.10000610351562, 191.66580200195312]","[2313.153564453125, 2368.153564453125, 2648.153564453125, 2601.846435546875]",True
11,504471,25600.351052329777,0,"[-178.51499938964844, -198.60479736328125, -156.9964599609375, -177.1400146484375, -173.38999938964844, -194.84048461914062, -149.62339782714844, -171.3900146484375, -190.3232879638672, -140.96543884277344, -164.78500366210938]","[7826.09912109375, 7895.89990234375, 7966.10009765625, 8035.90087890625, 8508.099609375, 8577.8994140625, 8648.1005859375, 8717.900390625, 9262.8994140625, 9333.1005859375, 9402.900390625]","[-0.0, 0.08748923242092133, -0.08748923242092133, -0.0, -0.0, 0.08748923242092133, -0.08748923242092133, -0.0, 0.08748923242092133, -0.08748923242092133, -0.0]",-0.037551965564489365,0.029820863157510757,-89.67645263671875,67.22640991210938,4,"[-88.06612396240234, -88.568115234375, -95.44960021972656, -101.20372772216797]","[-88.06612396240234, -97.05708312988281, -99.77252960205078, -101.20372772216797]","[46.900001525878906, -4.9491286277771, 38.74406433105469, -0.9000007510185242]","[96.5, 92.08023834228516, 88.15531921386719, 96.5]","[2306.846435546875, 2376.846435546875, 2586.846435546875, 2656.846435546875]",False
12,504471,43238.4585711915,0,"[-165.66000366210938, -177.30374145507812, -162.1410369873047, -173.7650146484375, -192.73500061035156, -205.36050415039062, -188.56658935546875, -201.2150115966797, -220.30999755859375, -233.66822814941406, -215.39869689941406, -228.9350128173828]","[7826.09912109375, 7895.89990234375, 7966.10009765625, 8035.90087890625, 8508.099609375, 8577.8994140625, 8648.1005859375, 8717.900390625, 9193.099609375, 9262.8994140625, 9333.1005859375, 9402.900390625]","[-0.0, 0.08748923242092133, -0.08748923242092133, -0.0, -0.0, 0.08748923242092133, -0.08748923242092133, -0.0, -0.0, 0.08748923242092133, -0.08748923242092133, -0.0]",-0.012330346740782261,0.012995129451155663,-26.4013671875,30.40498161315918,4,"[-25.974973678588867, -24.81958770751953, -26.163410186767578, -30.09557342529297]","[-25.974973678588867, -29.142513275146484, -30.48633575439453, -30.09557342529297]","[-0.8999992609024048, 1.630530595779419, -3.176766872406006, -0.8999992609024048]","[48.70000076293945, 51.041786193847656, 46.23448944091797, 48.70000076293945]","[2313.153564453125, 2368.153564453125, 2593.153564453125, 2648.153564453125]",True
13,504471,46818.306176135804,0,"[-122.46000671386719, -136.44827270507812, -114.91633605957031, -128.9600067138672, -144.44000244140625, -159.5060272216797, -136.1973114013672, -151.53500366210938, -167.63999938964844, -183.4521484375, -158.502197265625, -174.7650146484375]","[7826.099609375, 7895.89990234375, 7966.10009765625, 8035.90087890625, 8508.099609375, 8577.8994140625, 8648.1005859375, 8717.900390625, 9193.099609375, 9262.8994140625, 9333.1005859375, 9402.900390625]","[-0.0, 0.08748923242092133, -0.08748923242092133, -0.0, -0.0, 0.08748923242092133, -0.08748923242092133, -0.0, -0.0, 0.08748923242092133, -0.08748923242092133, -0.0]",-0.00827462412416935,0.016812382265925407,-9.879424095153809,36.91352462768555,3,"[-9.586224555969238, -8.93625545501709, -8.157737731933594]","[-9.586224555969238, -13.259180068969727, -12.48066234588623]","[-0.8999992609024048, 0.24091902375221252, -1.6014747619628906]","[48.70000076293945, 49.65217590332031, 47.80978012084961]","[2313.153564453125, 2368.153564453125, 2593.153564453125]",False
14,504471,22392.76489731412,0,"[-23.860000610351562, -34.22930145263672, -6.654360771179199, -17.390003204345703, -13.681106567382812, 16.338123321533203, 4.7649993896484375, 20.735004425048828, 8.182079315185547, 40.50508499145508, 27.860000610351562]","[7826.099609375, 7895.89990234375, 7966.10009765625, 8035.90087890625, 8577.8994140625, 8648.099609375, 8717.900390625, 9193.099609375, 9262.8984375, 9333.099609375, 9402.900390625]","[-0.0, 0.08748923242092133, -0.08748923242092133, -0.0, 0.08748923242092133, -0.08748923242092133, -0.0, -0.0, 0.08748923242092133, -0.08748923242092133, -0.0]",-0.02030934765934944,0.01840399205684662,-47.806392669677734,42.39404296875,5,"[-47.04742431640625, -47.28113555908203, -52.25465393066406, -53.69657516479492, -53.883872985839844]","[-47.04742431640625, -51.604061126708984, -56.577579498291016, -53.69657516479492, -53.883872985839844]","[-0.8999992609024048, 3.595661163330078, 42.52313232421875, 46.900001525878906, -0.8999992609024048]","[48.70000076293945, 53.00691604614258, 91.93438720703125, 96.5, 48.70000076293945]","[2313.153564453125, 2368.153564453125, 2586.846435546875, 2641.846435546875, 2648.153564453125]",True
15,504471,15483.839123669319,0,"[6.890003204345703, -24.19110107421875, 27.9774169921875, -27.360000610351562, -61.031288146972656, -4.270288944244385, -37.840003967285156, -63.310001373291016, -99.37720489501953, -37.973541259765625, -74.41500854492188]","[7826.099609375, 7895.89990234375, 7966.1005859375, 8508.099609375, 8577.8994140625, 8648.1005859375, 8717.900390625, 9193.099609375, 9262.8994140625, 9333.1005859375, 9402.900390625]","[-0.0, 0.08748923242092133, -0.08748923242092133, -0.0, 0.08748923242092133, -0.08748923242092133, -0.0, -0.0, 0.08748923242092133, -0.08748923242092133, -0.0]",0.025635750964283943,0.04000813513994217,65.53937530517578,95.25152587890625,4,"[64.93457794189453, 74.14573669433594, 72.37958526611328, 73.36307525634766]","[64.93457794189453, 65.65676879882812, 63.89061737060547, 73.36307525634766]","[46.900001525878906, 89.33318328857422, 101.37845611572266, 94.69999694824219]","[96.5, 186.362548828125, 198.40782165527344, 192.10000610351562]","[2328.153564453125, 2376.846435546875, 2601.846435546875, 2656.846435546875]",True
16,504471,20961.48800123354,0,"[39.590003967285156, 22.330923080444336, 50.417808532714844, 32.86000061035156, 17.390003204345703, 28.98123550415039, 10.139999389648438, -6.2649993896484375, -26.32421875, 6.425402641296387, -13.640003204345703]","[7826.099609375, 7895.89990234375, 7966.10009765625, 8035.90087890625, 8508.099609375, 8648.099609375, 8717.900390625, 9193.099609375, 9262.8994140625, 9333.099609375, 9402.900390625]","[-0.0, 0.08748923242092133, -0.08748923242092133, -0.0, -0.0, -0.08748923242092133, -0.0, -0.0, 0.08748923242092133, -0.08748923242092133, -0.0]",0.022945819422602654,0.02160218544304371,58.25347137451172,51.722816467285156,4,"[57.72352600097656, 62.455078125, 64.60404968261719, 65.40282440185547]","[57.72352600097656, 58.13215255737305, 60.281124114990234, 65.40282440185547]","[46.900001525878906, 42.00891876220703, 52.715599060058594, 46.900001525878906]","[96.5, 91.42017364501953, 102.1268539428711, 96.5]","[2328.153564453125, 2383.153564453125, 2608.153564453125, 2663.153564453125]",True
17,504471,5354.686117395218,0,"[96.135009765625, 91.49411010742188, 133.9807891845703, 129.2100067138672, 205.8400115966797, 246.11248779296875, 240.79000854492188, 320.9100036621094, 314.6482849121094, 363.2532653808594, 356.8599853515625]","[7826.099609375, 7895.89990234375, 7966.1005859375, 8035.90087890625, 8508.099609375, 8648.1005859375, 8717.900390625, 9193.099609375, 9262.8994140625, 9333.1005859375, 9402.900390625]","[-0.0, 0.08748923242092133, -0.08748923242092133, -0.0, -0.0, -0.08748923242092133, -0.0, -0.0, 0.08748923242092133, -0.08748923242092133, -0.0]",-0.05901463702321053,0.022292140871286392,-148.4241943359375,50.71090316772461,4,"[-146.7188262939453, -146.03819274902344, -158.1953125, -166.47897338867188]","[-146.7188262939453, -154.52716064453125, -166.6842803955078, -166.47897338867188]","[-0.9000007510185242, 0.07885140180587769, -2.206650972366333, -0.9000007510185242]","[96.5, 97.10821533203125, 94.82271575927734, 96.5]","[2321.846435546875, 2376.846435546875, 2601.846435546875, 2656.846435546875]",True
18,504471,15601.597890044904,0,"[164.04518127441406, 193.4822235107422, 186.36000061035156, 219.9350128173828, 212.0327911376953, 243.72842407226562, 235.79000854492188, 271.239990234375, 262.2689514160156, 295.97222900390625, 286.8349914550781]","[7895.89990234375, 7966.1005859375, 8035.90087890625, 8508.099609375, 8577.8994140625, 8648.1005859375, 8717.900390625, 9193.099609375, 9262.8994140625, 9333.1005859375, 9402.900390625]","[0.08748923242092133, -0.08748923242092133, -0.0, -0.0, 0.08748923242092133, -0.08748923242092133, -0.0, -0.0, 0.08748923242092133, -0.08748923242092133, -0.0]",-0.002558582229539752,0.017394138500094414,-8.209270477294922,46.14967346191406,4,"[-8.087823867797852, -8.00331974029541, -8.498744010925293, -8.93067455291748]","[-8.087823867797852, -12.326244354248047, -12.82166862487793, -8.93067455291748]","[-0.8999992609024048, 0.15929767489433289, 46.351280212402344, 46.900001525878906]","[48.70000076293945, 49.570552825927734, 95.76253509521484, 96.5]","[2313.153564453125, 2368.153564453125, 2586.846435546875, 2641.846435546875]",False
19,504471,33447.23101154308,0,"[214.3400115966797, 214.16590881347656, 225.17782592773438, 225.05999755859375, 248.885009765625, 248.37107849121094, 260.0104064941406, 259.510009765625, 284.4599914550781, 283.29901123046875, 295.97222900390625]","[7826.09912109375, 7895.89990234375, 7966.10009765625, 8035.90087890625, 8508.099609375, 8577.8994140625, 8648.1005859375, 8717.900390625, 9193.099609375, 9262.8984375, 9333.1005859375]","[-0.0, 0.08748923242092133, -0.08748923242092133, -0.0, -0.0, 0.08748923242092133, -0.08748923242092133, -0.0, -0.0, 0.08748923242092133, -0.08748923242092133]",0.016074901446700096,0.0055161514319479465,37.71763229370117,12.401605606079102,4,"[37.248966217041016, 41.02851867675781, 42.73997116088867, 42.644676208496094]","[37.248966217041016, 36.70559310913086, 38.41704559326172, 42.644676208496094]","[-0.8999992609024048, -4.099088191986084, 2.8201539516448975, -0.8999992609024048]","[48.70000076293945, 45.31216812133789, 52.23141098022461, 48.70000076293945]","[2321.846435546875, 2376.846435546875, 2601.846435546875, 2656.846435546875]",True
